Phase,Indicator,Group,State,Subgroup,Time Period,Time Period Label,Value,Low CI,High CI,Confidence Interval,Quartile range,code,Start Date
2,Anxiety Disorder,By Education,United States,High school diploma or GED,14,Sep 2 - Sep 14,30.6,29.3,32,29.3 - 32.0,,,2-Sep
2,Anxiety Disorder,By Education,United States,Some college/Associate's degree,14,Sep 2 - Sep 14,33.8,33,34.6,33.0 - 34.6,,,2-Sep
2,Anxiety Disorder,By Education,United States,Bachelor's degree or higher,14,Sep 2 - Sep 14,28.5,27.9,29.2,27.9 - 29.2,,,2-Sep
2,Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,14,Sep 2 - Sep 14,36.2,35.5,36.8,35.5 - 36.8,,,2-Sep
2,Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,14,Sep 2 - Sep 14,47.3,45,49.5,45.0 - 49.5,,,2-Sep
2,Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,14,Sep 2 - Sep 14,41.8,40.6,43,40.6 - 43.0,,,2-Sep
2,Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,14,Sep 2 - Sep 14,38.2,36.9,39.5,36.9 - 39.5,,,2-Sep
2,Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,14,Sep 2 - Sep 14,35,33.4,36.5,33.4 - 36.5,,,2-Sep
2,Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,14,Sep 2 - Sep 14,29.3,28.3,30.4,28.3 - 30.4,,,2-Sep
2,Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,14,Sep 2 - Sep 14,23.1,21.3,24.9,21.3 - 24.9,,,2-Sep
2,Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,14,Sep 2 - Sep 14,22.3,18.2,26.7,18.2 - 26.7,,,2-Sep
2,Anxiety Disorder or Depressive Disorder,By Gender,United States,Male,14,Sep 2 - Sep 14,32.1,31.2,33,31.2 - 33.0,,,2-Sep
2,Anxiety Disorder or Depressive Disorder,By Gender,United States,Female,14,Sep 2 - Sep 14,39.9,39,40.9,39.0 - 40.9,,,2-Sep
2,Anxiety Disorder or Depressive Disorder,By Race Ethnicity,United States,Hispanic or Latino,14,Sep 2 - Sep 14,42,40.1,43.8,40.1 - 43.8,,,2-Sep
2,Anxiety Disorder or Depressive Disorder,By Race Ethnicity,United States,White,14,Sep 2 - Sep 14,34.4,33.6,35.2,33.6 - 35.2,,,2-Sep
2,Anxiety Disorder or Depressive Disorder,By Race Ethnicity,United States,Black,14,Sep 2 - Sep 14,38.6,36.7,40.4,36.7 - 40.4,,,2-Sep
2,Anxiety Disorder or Depressive Disorder,By Race Ethnicity,United States,Asian,14,Sep 2 - Sep 14,27.4,25.3,29.5,25.3 - 29.5,,,2-Sep
2,Anxiety Disorder or Depressive Disorder,By Race Ethnicity,United States,Other,14,Sep 2 - Sep 14,47.8,43.9,51.7,43.9 - 51.7,,,2-Sep
2,Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,14,Sep 2 - Sep 14,45.5,41.1,50,41.1 - 50.0,,,2-Sep
2,Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,14,Sep 2 - Sep 14,35.7,34,37.4,34.0 - 37.4,,,2-Sep
2,Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,14,Sep 2 - Sep 14,39,38,39.9,38.0 - 39.9,,,2-Sep
2,Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,14,Sep 2 - Sep 14,31.8,31.1,32.5,31.1 - 32.5,,,2-Sep
2,Depressive Disorder,National Estimate,United States,United States,15,Sep 16 - Sep 28,25,24.5,25.6,24.5 - 25.6,,,16-Sep
2,Depressive Disorder,By Age,United States,18 - 29 years,15,Sep 16 - Sep 28,35.7,33.6,37.8,33.6 - 37.8,,,16-Sep
2,Depressive Disorder,By Age,United States,30 - 39 years,15,Sep 16 - Sep 28,28.5,27.1,29.9,27.1 - 29.9,,,16-Sep
2,Depressive Disorder,By Age,United States,40 - 49 years,15,Sep 16 - Sep 28,25.1,23.7,26.5,23.7 - 26.5,,,16-Sep
2,Depressive Disorder,By Age,United States,50 - 59 years,15,Sep 16 - Sep 28,23.6,22.5,24.8,22.5 - 24.8,,,16-Sep
2,Depressive Disorder,By Age,United States,60 - 69 years,15,Sep 16 - Sep 28,20.8,19.5,22.3,19.5 - 22.3,,,16-Sep
2,Depressive Disorder,By Age,United States,70 - 79 years,15,Sep 16 - Sep 28,15.5,13.7,17.5,13.7 - 17.5,,,16-Sep
2,Depressive Disorder,By Age,United States,80 years and above,15,Sep 16 - Sep 28,12.5,10,15.3,10.0 - 15.3,,,16-Sep
2,Depressive Disorder,By Gender,United States,Male,15,Sep 16 - Sep 28,22.7,21.8,23.6,21.8 - 23.6,,,16-Sep
2,Depressive Disorder,By Gender,United States,Female,15,Sep 16 - Sep 28,27.2,26.3,28.1,26.3 - 28.1,,,16-Sep
2,Depressive Disorder,By Race Ethnicity,United States,Hispanic or Latino,15,Sep 16 - Sep 28,31,28.6,33.4,28.6 - 33.4,,,16-Sep
2,Depressive Disorder,By Race Ethnicity,United States,White,15,Sep 16 - Sep 28,23.4,22.8,24,22.8 - 24.0,,,16-Sep
2,Depressive Disorder,By Race Ethnicity,United States,Black,15,Sep 16 - Sep 28,25.8,23.8,27.8,23.8 - 27.8,,,16-Sep
2,Depressive Disorder,By Race Ethnicity,United States,Asian,15,Sep 16 - Sep 28,21,18.7,23.5,18.7 - 23.5,,,16-Sep
2,Depressive Disorder,By Race Ethnicity,United States,Other,15,Sep 16 - Sep 28,31.4,28.5,34.4,28.5 - 34.4,,,16-Sep
2,Depressive Disorder,By Education,United States,Less than a high school diploma,15,Sep 16 - Sep 28,34.4,30.3,38.7,30.3 - 38.7,,,16-Sep
2,Depressive Disorder,By Education,United States,High school diploma or GED,15,Sep 16 - Sep 28,25.7,24.4,27.1,24.4 - 27.1,,,16-Sep
2,Depressive Disorder,By Education,United States,Some college/Associate's degree,15,Sep 16 - Sep 28,27.4,26.4,28.4,26.4 - 28.4,,,16-Sep
2,Depressive Disorder,By Education,United States,Bachelor's degree or higher,15,Sep 16 - Sep 28,19.9,19.3,20.5,19.3 - 20.5,,,16-Sep
2,Anxiety Disorder,National Estimate,United States,United States,15,Sep 16 - Sep 28,32.6,32,33.2,32.0 - 33.2,,,16-Sep
2,Anxiety Disorder,By Age,United States,18 - 29 years,15,Sep 16 - Sep 28,42.5,40.4,44.5,40.4 - 44.5,,,16-Sep
2,Anxiety Disorder,By Age,United States,30 - 39 years,15,Sep 16 - Sep 28,39.2,37.5,40.8,37.5 - 40.8,,,16-Sep
2,Anxiety Disorder,By Age,United States,40 - 49 years,15,Sep 16 - Sep 28,34.8,33.5,36.2,33.5 - 36.2,,,16-Sep
2,Anxiety Disorder,By Age,United States,50 - 59 years,15,Sep 16 - Sep 28,31.4,30,32.7,30.0 - 32.7,,,16-Sep
2,Anxiety Disorder,By Age,United States,60 - 69 years,15,Sep 16 - Sep 28,26.5,25.2,27.8,25.2 - 27.8,,,16-Sep
2,Anxiety Disorder,By Age,United States,70 - 79 years,15,Sep 16 - Sep 28,19.2,17.4,21.1,17.4 - 21.1,,,16-Sep
2,Anxiety Disorder,By Age,United States,80 years and above,15,Sep 16 - Sep 28,15.3,12.4,18.6,12.4 - 18.6,,,16-Sep
2,Anxiety Disorder,By Gender,United States,Male,15,Sep 16 - Sep 28,27.7,27,28.5,27.0 - 28.5,,,16-Sep
2,Anxiety Disorder,By Gender,United States,Female,15,Sep 16 - Sep 28,37.1,36.2,38,36.2 - 38.0,,,16-Sep
2,Anxiety Disorder,By Race Ethnicity,United States,Hispanic or Latino,15,Sep 16 - Sep 28,38.5,36.1,40.9,36.1 - 40.9,,,16-Sep
2,Anxiety Disorder,By Race Ethnicity,United States,White,15,Sep 16 - Sep 28,31.4,30.9,32,30.9 - 32.0,,,16-Sep
2,Anxiety Disorder,By Race Ethnicity,United States,Black,15,Sep 16 - Sep 28,32,29.7,34.3,29.7 - 34.3,,,16-Sep
2,Anxiety Disorder,By Race Ethnicity,United States,Asian,15,Sep 16 - Sep 28,25,22.4,27.8,22.4 - 27.8,,,16-Sep
2,Anxiety Disorder,By Race Ethnicity,United States,Other,15,Sep 16 - Sep 28,39.6,36.8,42.4,36.8 - 42.4,,,16-Sep
2,Anxiety Disorder,By Education,United States,Less than a high school diploma,15,Sep 16 - Sep 28,39.2,34.9,43.7,34.9 - 43.7,,,16-Sep
2,Anxiety Disorder,By Education,United States,High school diploma or GED,15,Sep 16 - Sep 28,31.1,29.8,32.5,29.8 - 32.5,,,16-Sep
2,Anxiety Disorder,By Education,United States,Some college/Associate's degree,15,Sep 16 - Sep 28,34.6,33.7,35.5,33.7 - 35.5,,,16-Sep
2,Anxiety Disorder,By Education,United States,Bachelor's degree or higher,15,Sep 16 - Sep 28,30.3,29.7,31,29.7 - 31.0,,,16-Sep
2,Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,15,Sep 16 - Sep 28,37.2,36.6,37.9,36.6 - 37.9,,,16-Sep
2,Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,15,Sep 16 - Sep 28,49.9,47.9,51.9,47.9 - 51.9,,,16-Sep
2,Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,15,Sep 16 - Sep 28,43,41.4,44.6,41.4 - 44.6,,,16-Sep
2,Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,15,Sep 16 - Sep 28,39,37.7,40.2,37.7 - 40.2,,,16-Sep
2,Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,15,Sep 16 - Sep 28,35.6,34.2,37,34.2 - 37.0,,,16-Sep
2,Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,15,Sep 16 - Sep 28,30.7,29.3,32,29.3 - 32.0,,,16-Sep
2,Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,15,Sep 16 - Sep 28,23.5,21.5,25.6,21.5 - 25.6,,,16-Sep
2,Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,15,Sep 16 - Sep 28,19.1,15.9,22.5,15.9 - 22.5,,,16-Sep
2,Anxiety Disorder or Depressive Disorder,By Gender,United States,Male,15,Sep 16 - Sep 28,32.7,31.8,33.6,31.8 - 33.6,,,16-Sep
2,Anxiety Disorder or Depressive Disorder,By Gender,United States,Female,15,Sep 16 - Sep 28,41.4,40.5,42.4,40.5 - 42.4,,,16-Sep
2,Anxiety Disorder or Depressive Disorder,By Race Ethnicity,United States,Hispanic or Latino,15,Sep 16 - Sep 28,44.4,41.9,46.8,41.9 - 46.8,,,16-Sep
2,Anxiety Disorder or Depressive Disorder,By Race Ethnicity,United States,White,15,Sep 16 - Sep 28,35.6,34.9,36.2,34.9 - 36.2,,,16-Sep
2,Anxiety Disorder or Depressive Disorder,By Race Ethnicity,United States,Black,15,Sep 16 - Sep 28,37.4,35.2,39.7,35.2 - 39.7,,,16-Sep
2,Anxiety Disorder or Depressive Disorder,By Race Ethnicity,United States,Asian,15,Sep 16 - Sep 28,30.1,27.5,32.7,27.5 - 32.7,,,16-Sep
2,Anxiety Disorder or Depressive Disorder,By Race Ethnicity,United States,Other,15,Sep 16 - Sep 28,44.4,41.4,47.4,41.4 - 47.4,,,16-Sep
2,Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,15,Sep 16 - Sep 28,44.6,40.1,49.1,40.1 - 49.1,,,16-Sep
2,Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,15,Sep 16 - Sep 28,36.7,35.2,38.2,35.2 - 38.2,,,16-Sep
2,Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,15,Sep 16 - Sep 28,39.7,38.8,40.6,38.8 - 40.6,,,16-Sep
2,Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,15,Sep 16 - Sep 28,33.6,32.9,34.3,32.9 - 34.3,,,16-Sep
2,Depressive Disorder,National Estimate,United States,United States,16,Sep 30 - Oct 12,25.4,24.8,26,24.8 - 26.0,,,30-Sep
2,Depressive Disorder,By Age,United States,18 - 29 years,16,Sep 30 - Oct 12,39.3,37.1,41.5,37.1 - 41.5,,,30-Sep
2,Depressive Disorder,By Age,United States,30 - 39 years,16,Sep 30 - Oct 12,28.4,27.1,29.8,27.1 - 29.8,,,30-Sep
2,Depressive Disorder,By Age,United States,40 - 49 years,16,Sep 30 - Oct 12,26.4,25,28,25.0 - 28.0,,,30-Sep
2,Depressive Disorder,By Age,United States,50 - 59 years,16,Sep 30 - Oct 12,22.6,21.5,23.8,21.5 - 23.8,,,30-Sep
2,Depressive Disorder,By Age,United States,60 - 69 years,16,Sep 30 - Oct 12,19.6,18.3,21,18.3 - 21.0,,,30-Sep
2,Depressive Disorder,By Age,United States,70 - 79 years,16,Sep 30 - Oct 12,15,13.6,16.5,13.6 - 16.5,,,30-Sep
2,Depressive Disorder,By Age,United States,80 years and above,16,Sep 30 - Oct 12,10.8,8.1,14.1,8.1 - 14.1,,,30-Sep
2,Depressive Disorder,By Gender,United States,Male,16,Sep 30 - Oct 12,23.5,22.5,24.4,22.5 - 24.4,,,30-Sep
2,Depressive Disorder,By Gender,United States,Female,16,Sep 30 - Oct 12,27.2,26.5,28,26.5 - 28.0,,,30-Sep
2,Depressive Disorder,By Race Ethnicity,United States,Hispanic or Latino,16,Sep 30 - Oct 12,31.5,28.9,34.2,28.9 - 34.2,,,30-Sep
2,Depressive Disorder,By Race Ethnicity,United States,White,16,Sep 30 - Oct 12,23.3,22.7,23.9,22.7 - 23.9,,,30-Sep
2,Depressive Disorder,By Race Ethnicity,United States,Black,16,Sep 30 - Oct 12,29.2,27.1,31.4,27.1 - 31.4,,,30-Sep
2,Depressive Disorder,By Race Ethnicity,United States,Asian,16,Sep 30 - Oct 12,19,17.1,21.1,17.1 - 21.1,,,30-Sep
2,Depressive Disorder,By Race Ethnicity,United States,Other,16,Sep 30 - Oct 12,33.6,30.4,37,30.4 - 37.0,,,30-Sep
2,Depressive Disorder,By Education,United States,Less than a high school diploma,16,Sep 30 - Oct 12,32,27.9,36.3,27.9 - 36.3,,,30-Sep
2,Depressive Disorder,By Education,United States,High school diploma or GED,16,Sep 30 - Oct 12,26.9,25.5,28.4,25.5 - 28.4,,,30-Sep
2,Depressive Disorder,By Education,United States,Some college/Associate's degree,16,Sep 30 - Oct 12,29,28.1,30,28.1 - 30.0,,,30-Sep
2,Depressive Disorder,By Education,United States,Bachelor's degree or higher,16,Sep 30 - Oct 12,19.1,18.6,19.6,18.6 - 19.6,,,30-Sep
2,Anxiety Disorder,National Estimate,United States,United States,16,Sep 30 - Oct 12,32.4,31.7,33.1,31.7 - 33.1,,,30-Sep
2,Anxiety Disorder,By Age,United States,18 - 29 years,16,Sep 30 - Oct 12,44.7,42.3,47,42.3 - 47.0,,,30-Sep
2,Anxiety Disorder,By Age,United States,30 - 39 years,16,Sep 30 - Oct 12,38.1,36.7,39.6,36.7 - 39.6,,,30-Sep
2,Anxiety Disorder,By Age,United States,40 - 49 years,16,Sep 30 - Oct 12,35.3,33.9,36.7,33.9 - 36.7,,,30-Sep
2,Anxiety Disorder,By Age,United States,50 - 59 years,16,Sep 30 - Oct 12,31.1,29.8,32.4,29.8 - 32.4,,,30-Sep
2,Anxiety Disorder,By Age,United States,60 - 69 years,16,Sep 30 - Oct 12,24.8,23.5,26.1,23.5 - 26.1,,,30-Sep
2,Anxiety Disorder,By Age,United States,70 - 79 years,16,Sep 30 - Oct 12,18,16.5,19.7,16.5 - 19.7,,,30-Sep
2,Anxiety Disorder,By Age,United States,80 years and above,16,Sep 30 - Oct 12,15,12.2,18.2,12.2 - 18.2,,,30-Sep
2,Anxiety Disorder,By Gender,United States,Male,16,Sep 30 - Oct 12,28.1,27,29.2,27.0 - 29.2,,,30-Sep
2,Anxiety Disorder,By Gender,United States,Female,16,Sep 30 - Oct 12,36.4,35.6,37.2,35.6 - 37.2,,,30-Sep
2,Anxiety Disorder,By Race Ethnicity,United States,Hispanic or Latino,16,Sep 30 - Oct 12,36.4,33.7,39.2,33.7 - 39.2,,,30-Sep
2,Anxiety Disorder,By Race Ethnicity,United States,White,16,Sep 30 - Oct 12,31.6,30.9,32.4,30.9 - 32.4,,,30-Sep
2,Anxiety Disorder,By Race Ethnicity,United States,Black,16,Sep 30 - Oct 12,32.2,30.2,34.1,30.2 - 34.1,,,30-Sep
2,Anxiety Disorder,By Race Ethnicity,United States,Asian,16,Sep 30 - Oct 12,24.8,22.2,27.5,22.2 - 27.5,,,30-Sep
2,Anxiety Disorder,By Race Ethnicity,United States,Other,16,Sep 30 - Oct 12,39.7,35.6,43.8,35.6 - 43.8,,,30-Sep
2,Anxiety Disorder,By Education,United States,Less than a high school diploma,16,Sep 30 - Oct 12,37.8,33.6,42.2,33.6 - 42.2,,,30-Sep
2,Anxiety Disorder,By Education,United States,High school diploma or GED,16,Sep 30 - Oct 12,30.8,29.1,32.6,29.1 - 32.6,,,30-Sep
2,Anxiety Disorder,By Education,United States,Some college/Associate's degree,16,Sep 30 - Oct 12,35.2,34.1,36.4,34.1 - 36.4,,,30-Sep
2,Anxiety Disorder,By Education,United States,Bachelor's degree or higher,16,Sep 30 - Oct 12,29.9,29.1,30.6,29.1 - 30.6,,,30-Sep
2,Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,16,Sep 30 - Oct 12,37.5,36.8,38.2,36.8 - 38.2,,,30-Sep
2,Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,16,Sep 30 - Oct 12,52.8,50.5,55.1,50.5 - 55.1,,,30-Sep
2,Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,16,Sep 30 - Oct 12,43.2,41.7,44.7,41.7 - 44.7,,,30-Sep
2,Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,16,Sep 30 - Oct 12,39.9,38.4,41.5,38.4 - 41.5,,,30-Sep
2,Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,16,Sep 30 - Oct 12,34.8,33.5,36.2,33.5 - 36.2,,,30-Sep
2,Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,16,Sep 30 - Oct 12,29.5,28.2,30.9,28.2 - 30.9,,,30-Sep
2,Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,16,Sep 30 - Oct 12,22.8,21.1,24.6,21.1 - 24.6,,,30-Sep
2,Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,16,Sep 30 - Oct 12,17.9,15,21.1,15.0 - 21.1,,,30-Sep
2,Anxiety Disorder or Depressive Disorder,By Gender,United States,Male,16,Sep 30 - Oct 12,33.1,32.1,34.1,32.1 - 34.1,,,30-Sep
2,Anxiety Disorder or Depressive Disorder,By Gender,United States,Female,16,Sep 30 - Oct 12,41.6,40.8,42.4,40.8 - 42.4,,,30-Sep
2,Anxiety Disorder or Depressive Disorder,By Race Ethnicity,United States,Hispanic or Latino,16,Sep 30 - Oct 12,43.5,40.9,46.1,40.9 - 46.1,,,30-Sep
2,Anxiety Disorder or Depressive Disorder,By Race Ethnicity,United States,White,16,Sep 30 - Oct 12,35.9,35.1,36.6,35.1 - 36.6,,,30-Sep
2,Anxiety Disorder or Depressive Disorder,By Race Ethnicity,United States,Black,16,Sep 30 - Oct 12,39.7,37.6,41.8,37.6 - 41.8,,,30-Sep
2,Anxiety Disorder or Depressive Disorder,By Race Ethnicity,United States,Asian,16,Sep 30 - Oct 12,29.2,26.4,32,26.4 - 32.0,,,30-Sep
2,Anxiety Disorder or Depressive Disorder,By Race Ethnicity,United States,Other,16,Sep 30 - Oct 12,45.7,41.9,49.5,41.9 - 49.5,,,30-Sep
2,Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,16,Sep 30 - Oct 12,43.2,39,47.5,39.0 - 47.5,,,30-Sep
2,Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,16,Sep 30 - Oct 12,37.1,35.5,38.8,35.5 - 38.8,,,30-Sep
2,Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,16,Sep 30 - Oct 12,40.9,39.8,42,39.8 - 42.0,,,30-Sep
2,Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,16,Sep 30 - Oct 12,33.3,32.5,34,32.5 - 34.0,,,30-Sep
2,Depressive Disorder,National Estimate,United States,United States,17,Oct 14 - Oct 26,26,25.4,26.6,25.4 - 26.6,,,14-Oct
2,Depressive Disorder,By Age,United States,18 - 29 years,17,Oct 14 - Oct 26,39,36.8,41.2,36.8 - 41.2,,,14-Oct
2,Depressive Disorder,By Age,United States,30 - 39 years,17,Oct 14 - Oct 26,30.3,29,31.6,29.0 - 31.6,,,14-Oct
2,Depressive Disorder,By Age,United States,40 - 49 years,17,Oct 14 - Oct 26,26.3,24.9,27.7,24.9 - 27.7,,,14-Oct
2,Depressive Disorder,By Age,United States,50 - 59 years,17,Oct 14 - Oct 26,23.7,22.2,25.3,22.2 - 25.3,,,14-Oct
2,Depressive Disorder,By Age,United States,60 - 69 years,17,Oct 14 - Oct 26,20.4,19,21.9,19.0 - 21.9,,,14-Oct
2,Depressive Disorder,By Age,United States,70 - 79 years,17,Oct 14 - Oct 26,15.4,13.8,17,13.8 - 17.0,,,14-Oct
2,Depressive Disorder,By Age,United States,80 years and above,17,Oct 14 - Oct 26,13.3,9.3,18.3,9.3 - 18.3,,,14-Oct
2,Depressive Disorder,By Gender,United States,Male,17,Oct 14 - Oct 26,23.7,22.6,24.8,22.6 - 24.8,,,14-Oct
2,Depressive Disorder,By Gender,United States,Female,17,Oct 14 - Oct 26,28.1,27.3,28.9,27.3 - 28.9,,,14-Oct
2,Depressive Disorder,By Race Ethnicity,United States,Hispanic or Latino,17,Oct 14 - Oct 26,31.3,29.4,33.2,29.4 - 33.2,,,14-Oct
2,Depressive Disorder,By Race Ethnicity,United States,White,17,Oct 14 - Oct 26,24,23.3,24.7,23.3 - 24.7,,,14-Oct
2,Depressive Disorder,By Race Ethnicity,United States,Black,17,Oct 14 - Oct 26,28.7,26.7,30.8,26.7 - 30.8,,,14-Oct
2,Depressive Disorder,By Race Ethnicity,United States,Asian,17,Oct 14 - Oct 26,23.1,20.4,26,20.4 - 26.0,,,14-Oct
2,Depressive Disorder,By Race Ethnicity,United States,Other,17,Oct 14 - Oct 26,34.4,31.1,37.7,31.1 - 37.7,,,14-Oct
2,Depressive Disorder,By Education,United States,Less than a high school diploma,17,Oct 14 - Oct 26,33.4,29,38.1,29.0 - 38.1,,,14-Oct
2,Depressive Disorder,By Education,United States,High school diploma or GED,17,Oct 14 - Oct 26,27.4,26,28.7,26.0 - 28.7,,,14-Oct
2,Depressive Disorder,By Education,United States,Some college/Associate's degree,17,Oct 14 - Oct 26,29.6,28.6,30.7,28.6 - 30.7,,,14-Oct
2,Depressive Disorder,By Education,United States,Bachelor's degree or higher,17,Oct 14 - Oct 26,19.8,19.2,20.4,19.2 - 20.4,,,14-Oct
2,Anxiety Disorder,National Estimate,United States,United States,17,Oct 14 - Oct 26,32.8,32.2,33.4,32.2 - 33.4,,,14-Oct
2,Anxiety Disorder,By Age,United States,18 - 29 years,17,Oct 14 - Oct 26,44,41.8,46.3,41.8 - 46.3,,,14-Oct
2,Anxiety Disorder,By Age,United States,30 - 39 years,17,Oct 14 - Oct 26,40.4,38.8,42,38.8 - 42.0,,,14-Oct
2,Anxiety Disorder,By Age,United States,40 - 49 years,17,Oct 14 - Oct 26,35.1,33.4,36.8,33.4 - 36.8,,,14-Oct
2,Anxiety Disorder,By Age,United States,50 - 59 years,17,Oct 14 - Oct 26,30.4,29,31.8,29.0 - 31.8,,,14-Oct
2,Anxiety Disorder,By Age,United States,60 - 69 years,17,Oct 14 - Oct 26,26.5,25.2,27.8,25.2 - 27.8,,,14-Oct
2,Anxiety Disorder,By Age,United States,70 - 79 years,17,Oct 14 - Oct 26,18.2,16.6,19.8,16.6 - 19.8,,,14-Oct
2,Anxiety Disorder,By Age,United States,80 years and above,17,Oct 14 - Oct 26,17.2,12.8,22.3,12.8 - 22.3,,,14-Oct
2,Anxiety Disorder,By Gender,United States,Male,17,Oct 14 - Oct 26,27.6,26.6,28.7,26.6 - 28.7,,,14-Oct
2,Anxiety Disorder,By Gender,United States,Female,17,Oct 14 - Oct 26,37.6,36.9,38.4,36.9 - 38.4,,,14-Oct
2,Anxiety Disorder,By Race Ethnicity,United States,Hispanic or Latino,17,Oct 14 - Oct 26,36,33.7,38.3,33.7 - 38.3,,,14-Oct
2,Anxiety Disorder,By Race Ethnicity,United States,White,17,Oct 14 - Oct 26,31.8,31.1,32.5,31.1 - 32.5,,,14-Oct
2,Anxiety Disorder,By Race Ethnicity,United States,Black,17,Oct 14 - Oct 26,32.9,31,34.8,31.0 - 34.8,,,14-Oct
2,Anxiety Disorder,By Race Ethnicity,United States,Asian,17,Oct 14 - Oct 26,29.2,26.4,32,26.4 - 32.0,,,14-Oct
2,Anxiety Disorder,By Race Ethnicity,United States,Other,17,Oct 14 - Oct 26,41.7,38,45.5,38.0 - 45.5,,,14-Oct
2,Anxiety Disorder,By Education,United States,Less than a high school diploma,17,Oct 14 - Oct 26,37,32.1,42,32.1 - 42.0,,,14-Oct
2,Anxiety Disorder,By Education,United States,High school diploma or GED,17,Oct 14 - Oct 26,31,29.3,32.6,29.3 - 32.6,,,14-Oct
2,Anxiety Disorder,By Education,United States,Some college/Associate's degree,17,Oct 14 - Oct 26,36.4,35.3,37.6,35.3 - 37.6,,,14-Oct
2,Anxiety Disorder,By Education,United States,Bachelor's degree or higher,17,Oct 14 - Oct 26,30.3,29.5,31,29.5 - 31.0,,,14-Oct
2,Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,17,Oct 14 - Oct 26,37.8,37.2,38.5,37.2 - 38.5,,,14-Oct
2,Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,17,Oct 14 - Oct 26,52.1,49.8,54.4,49.8 - 54.4,,,14-Oct
2,Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,17,Oct 14 - Oct 26,44.9,43.4,46.5,43.4 - 46.5,,,14-Oct
2,Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,17,Oct 14 - Oct 26,39.7,38,41.3,38.0 - 41.3,,,14-Oct
2,Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,17,Oct 14 - Oct 26,34.8,33.3,36.3,33.3 - 36.3,,,14-Oct
2,Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,17,Oct 14 - Oct 26,30.7,29.1,32.3,29.1 - 32.3,,,14-Oct
2,Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,17,Oct 14 - Oct 26,23.1,21.2,25,21.2 - 25.0,,,14-Oct
2,Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,17,Oct 14 - Oct 26,19.3,14.7,24.7,14.7 - 24.7,,,14-Oct
2,Anxiety Disorder or Depressive Disorder,By Gender,United States,Male,17,Oct 14 - Oct 26,32.9,31.8,34,31.8 - 34.0,,,14-Oct
2,Anxiety Disorder or Depressive Disorder,By Gender,United States,Female,17,Oct 14 - Oct 26,42.4,41.6,43.2,41.6 - 43.2,,,14-Oct
2,Anxiety Disorder or Depressive Disorder,By Race Ethnicity,United States,Hispanic or Latino,17,Oct 14 - Oct 26,42.2,39.8,44.6,39.8 - 44.6,,,14-Oct
2,Anxiety Disorder or Depressive Disorder,By Race Ethnicity,United States,White,17,Oct 14 - Oct 26,36.1,35.3,36.8,35.3 - 36.8,,,14-Oct
